Time (s),Distance (m),Altitude (m),Velocity (m/s),Total Power (W),Fuel Consumption (kg),Dynamic Weight (N),Carbon Emissions (kg),CO Emissions (kg),NOx Emissions (kg),SO2 Emissions (kg),Pressure (Pa),True Airspeed (m/s),Groundspeed (m/s),Acceleration (m/s^2),Power (W),Cumulative Fuel Consumption (kg),Cumulative Carbon Emissions (kg),Cumulative CO Emissions (kg),Cumulative NOx Emissions (kg),Cumulative SO2 Emissions (kg),Weight (N),Engine Power (W),Motor Power (W),Battery Energy Consumption (kWh),Cumulative Battery Energy Consumption (kWh),Climb Angle (degrees),Airspeed (m/s),Power Drag (W),Power Climb (W),Drag (N),Lift (N),Heading (degrees),Drag Coefficient,Lift Coefficient,Horizontal Distance (m),Descent Angle (degrees)
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.0,0.0,0.0,994.2666666666667,0.003216237720924381,14999.968448707958,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.0,0.0,0.0,1988.5333333333333,0.003217807650542995,14999.936882014907,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.30000000000000004,0.0,0.0,0.0,2982.8,0.003219379113557386,14999.905299905802,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.0,0.0,0.0,3977.0666666666666,0.0032209521122152193,14999.873702365581,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.0,0.0,0.0,4971.333333333333,0.0032225266487685565,14999.842089379157,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.6000000000000001,0.0,0.0,0.0,5965.6,0.0032241027254738637,14999.81046093142,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.7000000000000001,0.0,0.0,0.0,6959.866666666667,0.0032256803445920236,14999.77881700724,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.0,0.0,0.0,7954.133333333333,0.003227259508388348,14999.747157591462,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.0,0.0,0.0,8948.4,0.003228840219132585,14999.715482668913,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,0.0,9942.666666666666,0.0032304224790989313,14999.683792224392,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.1,0.0,0.0,0.0,10936.933333333332,0.0032320062905660464,14999.652086242682,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.2000000000000002,0.0,0.0,0.0,11931.2,0.003233591655817058,14999.620364708539,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.3,0.0,0.0,0.0,12925.466666666665,0.0032351785771395757,14999.588627606696,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.4000000000000001,0.0,0.0,0.0,13919.733333333334,0.003236767056825706,14999.55687492187,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,0.0,0.0,0.0,14914.0,0.0032383570971720537,14999.525106638746,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.6,0.0,0.0,0.0,15908.266666666666,0.003239948700479741,14999.493322741993,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.7000000000000002,0.0,0.0,0.0,16902.533333333333,0.003241541869054418,14999.46152321626,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.8,0.0,0.0,0.0,17896.8,0.003243136605206268,14999.429708046162,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.9000000000000001,0.0,0.0,0.0,18891.066666666666,0.0032447329112500283,14999.397877216303,1.57179952377927,0.0009948098251767537,0.007461073688825648,0.00039792393007070134,101324.98964538038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
